" ""topic"" "," ""labID"" "," ""resource"" "
" ""http://dbpedia.org/resource/Perceptron"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Pythonidae"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/SPARQL"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Scikit-learn"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/TensorFlow"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Tfidf"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Webhook"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/WhatsApp"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Word2vec"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Word_embedding"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Alexei_Nikolaevich_Tsarevich_of_Russia"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Application_programming_interface"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Backpropagation"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Bishop"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/CNN"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Convolution"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Convolutional_neural_network"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Courtney_Thorne-Smith"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Flamethrower"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Grigori_Rasputin"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/IMDb"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Jim_Belushi"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Joe_Campbell_(golfer)"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Language_model"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Library"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Lighthouse"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Magic_in_fiction"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Nicholas_II_of_Russia"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Nobel_Prize"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Question_answering"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Sentiment_analysis"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Siberia"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Softmax_function"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/TensorFlow"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Test_cricket"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/The_Voice_UK"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Transformer"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Word_embedding"" "," ""12"" "," ""http://localhost:3030/University/COMP6741/Labs/lab12.pdf"" "
" ""http://dbpedia.org/resource/Apache_Software_Foundation"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/Intelligent_agent"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/JSON-LD"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/Jena"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/N-Triples"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/Open-source_model"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/RDF_Schema"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/Resource_Description_Framework"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/SPARQL"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/XML"" "," ""2"" "," ""http://localhost:3030/University/COMP6741/Labs/lab02.pdf"" "
" ""http://dbpedia.org/resource/Canada"" "," ""3"" "," ""http://localhost:3030/University/COMP6741/Labs/lab03.pdf"" "
" ""http://dbpedia.org/resource/Concordia_University"" "," ""3"" "," ""http://localhost:3030/University/COMP6741/Labs/lab03.pdf"" "
" ""http://dbpedia.org/resource/DBpedia"" "," ""3"" "," ""http://localhost:3030/University/COMP6741/Labs/lab03.pdf"" "
" ""http://dbpedia.org/resource/FOAF_(ontology)"" "," ""3"" "," ""http://localhost:3030/University/COMP6741/Labs/lab03.pdf"" "
" ""http://dbpedia.org/resource/Intelligent_agent"" "," ""3"" "," ""http://localhost:3030/University/COMP6741/Labs/lab03.pdf"" "
" ""http://dbpedia.org/resource/Montreal"" "," ""3"" "," ""http://localhost:3030/University/COMP6741/Labs/lab03.pdf"" "
" ""http://dbpedia.org/resource/RDF_Schema"" "," ""3"" "," ""http://localhost:3030/University/COMP6741/Labs/lab03.pdf"" "
" ""http://dbpedia.org/resource/Web_Ontology_Language"" "," ""3"" "," ""http://localhost:3030/University/COMP6741/Labs/lab03.pdf"" "
" ""http://dbpedia.org/resource/Alma_Mahler"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Amazon_Alexa"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Apache_HTTP_Server"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Archive_file"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Berlin"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Binary_distribution"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Canada"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Chmod"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/DBpedia"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/FOAF_(ontology)"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Fuseki"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Jena"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Moodle"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Open-source_model"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Public_Knowledge"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Query_language"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/RDF_Schema"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/SPARQL"" "," ""4"" "," ""http://localhost:3030/University/COMP6741/Labs/lab04.pdf"" "
" ""http://dbpedia.org/resource/Application_programming_interface"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Canada"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Cloud_computing"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Computer_science"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Concordia_University"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/DBpedia"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/FOAF_(ontology)"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Google_Assistant"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/JSON"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Linked_data"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Linux"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Loyola_University_Maryland"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Microsoft_Windows"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
" ""http://dbpedia.org/resource/Montreal"" "," ""5"" "," ""http://localhost:3030/University/COMP6741/Labs/lab05.pdf"" "
