" ""topic"" "," ""lectureID"" "," ""resource"" ",,
" ""http://dbpedia.org/resource/Microsoft"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/N-gram"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Natural-language_processing"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Neuron"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Paris"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Perceptron"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Physics"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Pima_people"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Probability_distribution"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Reading_F.C."" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Seymour_Papert"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Softmax_function"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Supervised_learning"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/TensorFlow"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Tfidf"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Trigonometric_functions"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Unsupervised_learning"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Word2vec"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Word_embedding"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Yeti"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Arthur_Conan_Doyle"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Artificial_intelligence"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Artificial_neural_network"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Augustus"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Backpropagation"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Bird"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/CNN"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Cat"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Concordia_University"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Convolution"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Convolutional_neural_network"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Covariance"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Covariate"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Cucurbita"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/David_Foster"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Deer"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Dog"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Four-dimensional_space"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Frog"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/IMDb"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
" ""http://dbpedia.org/resource/Jeremy_Brett"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides11.pdf"" ",,
